x,y,objet
139.031,11.1225,carre
137.908,12.2449,carre
139.031,12.2449,carre
140.153,10,carre
141.276,10,carre
142.398,10,carre
140.153,11.1225,carre
141.276,11.1225,carre
142.398,11.1225,carre
140.153,12.2449,carre
141.276,12.2449,carre
142.398,12.2449,carre
143.521,10,carre
144.643,10,carre
143.521,11.1225,carre
144.643,11.1225,carre
143.521,12.2449,carre
144.643,12.2449,carre
145.766,10,carre
146.888,10,carre
145.766,11.1225,carre
146.888,11.1225,carre
145.766,12.2449,carre
146.888,12.2449,carre
148.01,10,carre
149.133,10,carre
148.01,11.1225,carre
149.133,11.1225,carre
148.01,12.2449,carre
149.133,12.2449,carre
150.255,10,carre
151.378,10,carre
150.255,11.1225,carre
151.378,11.1225,carre
150.255,12.2449,carre
151.378,12.2449,carre
152.5,10,carre
153.623,10,carre
154.745,10,carre
152.5,11.1225,carre
153.623,11.1225,carre
154.745,11.1225,carre
152.5,12.2449,carre
153.623,12.2449,carre
154.745,12.2449,carre
155.868,10,carre
156.99,10,carre
155.868,11.1225,carre
156.99,11.1225,carre
155.868,12.2449,carre
156.99,12.2449,carre
158.113,10,carre
159.235,10,carre
158.113,11.1225,carre
159.235,11.1225,carre
158.113,12.2449,carre
159.235,12.2449,carre
160.358,10,carre
161.48,10,carre
160.358,11.1225,carre
161.48,11.1225,carre
160.358,12.2449,carre
161.48,12.2449,carre
162.602,10,carre
163.725,10,carre
164.847,10,carre
162.602,11.1225,carre
163.725,11.1225,carre
164.847,11.1225,carre
162.602,12.2449,carre
163.725,12.2449,carre
164.847,12.2449,carre
165.97,10,carre
167.092,10,carre
165.97,11.1225,carre
167.092,11.1225,carre
165.97,12.2449,carre
167.092,12.2449,carre
168.215,10,carre
169.337,10,carre
168.215,11.1225,carre
169.337,11.1225,carre
168.215,12.2449,carre
169.337,12.2449,carre
170.46,10,carre
171.582,10,carre
170.46,11.1225,carre
171.582,11.1225,carre
170.46,12.2449,carre
171.582,12.2449,carre
172.705,10,carre
173.827,10,carre
174.95,10,carre
172.705,11.1225,carre
173.827,11.1225,carre
174.95,11.1225,carre
172.705,12.2449,carre
173.827,12.2449,carre
174.95,12.2449,carre
176.072,10,carre
177.194,10,carre
176.072,11.1225,carre
177.194,11.1225,carre
176.072,12.2449,carre
177.194,12.2449,carre
178.317,10,carre
179.439,10,carre
178.317,11.1225,carre
179.439,11.1225,carre
178.317,12.2449,carre
179.439,12.2449,carre
180.562,10,carre
181.684,10,carre
180.562,11.1225,carre
181.684,11.1225,carre
180.562,12.2449,carre
181.684,12.2449,carre
182.807,10,carre
183.929,10,carre
182.807,11.1225,carre
183.929,11.1225,carre
182.807,12.2449,carre
183.929,12.2449,carre
185.052,10,carre
186.174,10,carre
187.297,10,carre
185.052,11.1225,carre
186.174,11.1225,carre
187.297,11.1225,carre
185.052,12.2449,carre
186.174,12.2449,carre
187.297,12.2449,carre
188.419,10,carre
189.542,10,carre
188.419,11.1225,carre
189.542,11.1225,carre
188.419,12.2449,carre
189.542,12.2449,carre
190.664,10,carre
191.786,10,carre
190.664,11.1225,carre
191.786,11.1225,carre
190.664,12.2449,carre
191.786,12.2449,carre
192.909,10,carre
194.031,10,carre
192.909,11.1225,carre
194.031,11.1225,carre
192.909,12.2449,carre
194.031,12.2449,carre
195.154,10,carre
196.276,10,carre
197.399,10,carre
195.154,11.1225,carre
196.276,11.1225,carre
197.399,11.1225,carre
195.154,12.2449,carre
196.276,12.2449,carre
197.399,12.2449,carre
198.521,10,carre
199.644,10,carre
198.521,11.1225,carre
199.644,11.1225,carre
198.521,12.2449,carre
199.644,12.2449,carre
200.766,10,carre
201.889,10,carre
200.766,11.1225,carre
201.889,11.1225,carre
200.766,12.2449,carre
201.889,12.2449,carre
203.011,10,carre
204.134,10,carre
203.011,11.1225,carre
204.134,11.1225,carre
203.011,12.2449,carre
204.134,12.2449,carre
205.256,10,carre
206.378,10,carre
205.256,11.1225,carre
206.378,11.1225,carre
205.256,12.2449,carre
206.378,12.2449,carre
207.501,10,carre
208.623,10,carre
209.746,10,carre
207.501,11.1225,carre
208.623,11.1225,carre
209.746,11.1225,carre
207.501,12.2449,carre
208.623,12.2449,carre
209.746,12.2449,carre
210.868,10,carre
211.991,10,carre
210.868,11.1225,carre
211.991,11.1225,carre
210.868,12.2449,carre
211.991,12.2449,carre
213.113,10,carre
214.236,10,carre
213.113,11.1225,carre
214.236,11.1225,carre
213.113,12.2449,carre
214.236,12.2449,carre
35.7643,13.3674,carre
36.8867,13.3674,carre
35.7643,14.4898,carre
36.8867,14.4898,carre
38.0092,13.3674,carre
39.1317,13.3674,carre
38.0092,14.4898,carre
39.1317,14.4898,carre
40.2541,13.3674,carre
41.3766,13.3674,carre
42.499,13.3674,carre
40.2541,14.4898,carre
41.3766,14.4898,carre
42.499,14.4898,carre
43.6215,13.3674,carre
44.744,13.3674,carre
43.6215,14.4898,carre
44.744,14.4898,carre
45.8664,13.3674,carre
46.9889,13.3674,carre
45.8664,14.4898,carre
46.9889,14.4898,carre
48.1113,13.3674,carre
49.2338,13.3674,carre
48.1113,14.4898,carre
49.2338,14.4898,carre
50.3563,13.3674,carre
51.4787,13.3674,carre
50.3563,14.4898,carre
51.4787,14.4898,carre
52.6012,13.3674,carre
53.7237,13.3674,carre
54.8461,13.3674,carre
52.6012,14.4898,carre
53.7237,14.4898,carre
54.8461,14.4898,carre
55.9686,13.3674,carre
57.091,13.3674,carre
55.9686,14.4898,carre
57.091,14.4898,carre
58.2135,13.3674,carre
59.336,13.3674,carre
58.2135,14.4898,carre
59.336,14.4898,carre
60.4584,13.3674,carre
61.5809,13.3674,carre
60.4584,14.4898,carre
61.5809,14.4898,carre
62.7034,13.3674,carre
63.8258,13.3674,carre
64.9483,13.3674,carre
62.7034,14.4898,carre
63.8258,14.4898,carre
64.9483,14.4898,carre
66.0707,13.3674,carre
67.1932,13.3674,carre
66.0707,14.4898,carre
67.1932,14.4898,carre
68.3157,13.3674,carre
69.4381,13.3674,carre
68.3157,14.4898,carre
69.4381,14.4898,carre
70.5606,13.3674,carre
71.6831,13.3674,carre
70.5606,14.4898,carre
71.6831,14.4898,carre
72.8055,13.3674,carre
73.928,13.3674,carre
72.8055,14.4898,carre
73.928,14.4898,carre
75.0504,13.3674,carre
76.1729,13.3674,carre
77.2954,13.3674,carre
75.0504,14.4898,carre
76.1729,14.4898,carre
77.2954,14.4898,carre
78.4178,13.3674,carre
79.5403,13.3674,carre
78.4178,14.4898,carre
79.5403,14.4898,carre
80.6627,13.3674,carre
81.7852,13.3674,carre
80.6627,14.4898,carre
81.7852,14.4898,carre
82.9077,13.3674,carre
84.0301,13.3674,carre
82.9077,14.4898,carre
84.0301,14.4898,carre
85.1526,13.3674,carre
86.2751,13.3674,carre
87.3975,13.3674,carre
85.1526,14.4898,carre
86.2751,14.4898,carre
87.3975,14.4898,carre
88.52,13.3674,carre
89.6424,13.3674,carre
88.52,14.4898,carre
89.6424,14.4898,carre
90.7649,13.3674,carre
91.8874,13.3674,carre
90.7649,14.4898,carre
91.8874,14.4898,carre
93.0098,13.3674,carre
94.1323,13.3674,carre
93.0098,14.4898,carre
94.1323,14.4898,carre
95.2548,13.3674,carre
96.3772,13.3674,carre
97.4997,13.3674,carre
95.2548,14.4898,carre
96.3772,14.4898,carre
97.4997,14.4898,carre
98.6221,13.3674,carre
99.7446,13.3674,carre
98.6221,14.4898,carre
99.7446,14.4898,carre
100.867,13.3674,carre
101.99,13.3674,carre
100.867,14.4898,carre
101.99,14.4898,carre
103.112,13.3674,carre
104.234,13.3674,carre
103.112,14.4898,carre
104.234,14.4898,carre
105.357,13.3674,carre
106.479,13.3674,carre
105.357,14.4898,carre
106.479,14.4898,carre
107.602,13.3674,carre
108.724,13.3674,carre
109.847,13.3674,carre
107.602,14.4898,carre
108.724,14.4898,carre
109.847,14.4898,carre
110.969,13.3674,carre
112.092,13.3674,carre
110.969,14.4898,carre
112.092,14.4898,carre
113.214,13.3674,carre
114.337,13.3674,carre
113.214,14.4898,carre
114.337,14.4898,carre
115.459,13.3674,carre
116.582,13.3674,carre
115.459,14.4898,carre
116.582,14.4898,carre
117.704,13.3674,carre
118.826,13.3674,carre
119.949,13.3674,carre
117.704,14.4898,carre
118.826,14.4898,carre
119.949,14.4898,carre
121.071,13.3674,carre
122.194,13.3674,carre
121.071,14.4898,carre
122.194,14.4898,carre
123.316,13.3674,carre
124.439,13.3674,carre
123.316,14.4898,carre
124.439,14.4898,carre
125.561,13.3674,carre
126.684,13.3674,carre
