t,id,x,y,vx,vy
0.005,35.7643,2,-1.46163e-05,-1.66717e-05
0.005,36.8867,2,1.25609e-05,-1.66717e-05
0.005,38.0092,2,2.05542e-06,-3.1288e-05
0.005,39.1317,2,1.25609e-05,-1.66717e-05
0.005,40.2541,2,0,-3.1288e-05
0.005,41.3766,2,-2.05542e-06,-3.1288e-05
0.005,42.499,2,0,-3.1288e-05
0.005,43.6215,2,-1.25609e-05,-1.66717e-05
0.005,44.744,2,-2.05542e-06,-3.1288e-05
0.005,45.8664,2,-1.25609e-05,-1.66717e-05
0.005,46.9889,2,-2.05542e-06,-3.1288e-05
0.005,48.1113,2,-1.25609e-05,-1.66717e-05
0.005,49.2338,2,1.25609e-05,-1.66717e-05
0.005,50.3563,2,2.05542e-06,-3.1288e-05
0.005,51.4787,2,1.25609e-05,-1.66717e-05
0.005,52.6012,2,0,-3.1288e-05
0.005,53.7237,2,0,-3.1288e-05
0.005,54.8461,2,0,-3.1288e-05
0.005,55.9686,2,-1.25609e-05,-1.66717e-05
0.005,57.091,2,-2.05542e-06,-3.1288e-05
0.005,58.2135,2,-1.25609e-05,-1.66717e-05
0.005,59.336,2,1.25609e-05,-1.66717e-05
0.005,60.4584,2,2.05542e-06,-3.1288e-05
0.005,61.5809,2,1.25609e-05,-1.66717e-05
0.005,62.7034,2,0,-3.1288e-05
0.005,63.8258,2,0,-3.1288e-05
0.005,64.9483,2,0,-3.1288e-05
0.005,66.0707,2,-1.25609e-05,-1.66717e-05
0.005,67.1932,2,-2.05542e-06,-3.1288e-05
0.005,68.3157,2,-1.25609e-05,-1.66717e-05
0.005,69.4381,2,1.25609e-05,-1.66717e-05
0.005,70.5606,2,-1.25609e-05,-1.66717e-05
0.005,71.6831,2,1.25609e-05,-1.66717e-05
0.005,72.8055,2,2.05542e-06,-3.1288e-05
0.005,73.928,2,1.25609e-05,-1.66717e-05
0.005,75.0504,2,0,-3.1288e-05
0.005,76.1729,2,0,-3.1288e-05
0.005,77.2954,2,0,-3.1288e-05
0.005,78.4178,2,-1.25609e-05,-1.66717e-05
0.005,79.5403,2,-2.05542e-06,-3.1288e-05
0.005,80.6627,2,-1.25609e-05,-1.66717e-05
0.005,81.7852,2,1.25609e-05,-1.66717e-05
0.005,82.9077,2,2.05542e-06,-3.1288e-05
0.005,84.0301,2,1.25609e-05,-1.66717e-05
0.005,85.1526,2,0,-3.1288e-05
0.005,86.2751,2,0,-3.1288e-05
0.005,87.3975,2,0,-3.1288e-05
0.005,88.52,2,-1.25609e-05,-1.66717e-05
0.005,89.6424,2,-2.05542e-06,-3.1288e-05
0.005,90.7649,2,-1.25609e-05,-1.66717e-05
0.005,91.8874,2,1.25609e-05,-1.66717e-05
0.005,93.0098,2,2.05542e-06,-3.1288e-05
0.005,94.1323,2,1.25609e-05,-1.66717e-05
0.005,95.2548,2,0,-3.1288e-05
0.005,96.3772,2,-2.05542e-06,-3.1288e-05
0.005,97.4997,2,0,-3.1288e-05
0.005,98.6221,2,-1.25609e-05,-1.66717e-05
0.005,99.7446,2,-2.05542e-06,-3.1288e-05
0.005,100.867,2,-1.25609e-05,-1.66717e-05
0.005,101.99,2,-0.000110318,-2.62445e-05
0.005,103.112,-8.82602,0,-10
0.005,104.234,-8.82602,0,-10
0.005,103.112,-7.70356,0,-10
0.005,104.234,-7.70356,0,-10
0.005,103.112,-6.5811,0,-10
0.005,104.234,-6.5811,0,-10
0.005,103.112,-5.45863,0,-10
0.005,104.234,-5.45863,0,-10
0.005,103.112,-4.33617,0,-10
0.005,104.234,-4.33617,0,-10
0.005,103.112,-3.21371,0,-10
0.005,104.234,-3.21371,0,-10
0.005,103.112,-2.09125,0,-10
0.005,104.234,-2.09125,0,-10
0.005,103.112,-0.968786,-2.92326e-05,-10
0.005,104.234,-0.968786,2.92326e-05,-10
0.005,103.112,0.153676,-2.92326e-05,-10
0.005,104.234,0.153676,-2.05542e-06,-10
0.005,103.112,1.27711,-2.77718e-05,-9.80644
0.005,104.234,1.27711,-1.89111e-06,-9.80645
0.005,103.112,2.19903,-2.60113e-05,-49.9143
0.005,104.234,2.19903,-5.27678e-06,-49.9143
0.005,103.112,2.19957,-0.000117602,39.9143
0.005,104.234,2.19957,1.26911e-05,39.9143
0.005,105.357,-8.82602,0,-10
0.005,106.479,-8.82602,0,-10
0.005,105.357,-7.70356,0,-10
0.005,106.479,-7.70356,0,-10
0.005,105.357,-6.5811,0,-10
0.005,106.479,-6.5811,0,-10
0.005,105.357,-5.45863,0,-10
0.005,106.479,-5.45863,0,-10
0.005,105.357,-4.33617,0,-10
0.005,106.479,-4.33617,0,-10
0.005,105.357,-3.21371,0,-10
0.005,106.479,-3.21371,0,-10
0.005,105.357,-2.09125,0,-10
0.005,106.479,-2.09125,0,-10
0.005,105.357,-0.968786,-2.92326e-05,-10
0.005,106.479,-0.968786,2.92326e-05,-10
0.005,105.357,0.153676,2.05542e-06,-10
0.005,106.479,0.153676,3.08578e-05,-10
0.005,105.357,1.27711,3.51625e-06,-9.80644
0.005,106.479,1.27711,-1.89111e-06,-9.80645
0.005,105.357,2.19903,5.27678e-06,-49.9143
0.005,106.479,2.19903,0.000130922,-49.9143
0.005,105.357,2.19957,5.27678e-06,39.9142
0.005,106.479,2.19957,1.26911e-05,39.9143
0.005,107.602,-8.82602,0,-10
0.005,108.724,-8.82602,0,-10
0.005,109.847,-8.82602,0,-10
0.005,107.602,-7.70356,0,-10
0.005,108.724,-7.70356,0,-10
0.005,109.847,-7.70356,0,-10
0.005,107.602,-6.5811,0,-10
0.005,108.724,-6.5811,0,-10
0.005,109.847,-6.5811,0,-10
0.005,107.602,-5.45863,0,-10
0.005,108.724,-5.45863,0,-10
0.005,109.847,-5.45863,0,-10
0.005,107.602,-4.33617,0,-10
0.005,108.724,-4.33617,0,-10
0.005,109.847,-4.33617,0,-10
0.005,107.602,-3.21371,0,-10
0.005,108.724,-3.21371,0,-10
0.005,109.847,-3.21371,0,-10
0.005,107.602,-2.09125,0,-10
0.005,108.724,-2.09125,0,-10
0.005,109.847,-2.09125,0,-10
0.005,107.602,-0.968786,-3.1288e-05,-10
0.005,108.724,-0.968786,0,-10
0.005,109.847,-0.968786,3.1288e-05,-10
0.005,107.602,0.153676,2.77556e-21,-10
0.005,108.724,0.153676,0,-10
0.005,109.847,0.153676,2.77556e-21,-10
0.005,107.602,1.27711,-7.63278e-21,-9.80644
0.005,108.724,1.27711,3.51625e-06,-9.80646
0.005,109.847,1.27711,-7.63278e-21,-9.80644
0.005,107.602,2.19903,-1.04083e-20,-49.9143
0.005,108.724,2.19903,0,-49.9143
0.005,109.847,2.19903,-1.04083e-20,-49.9143
0.005,107.602,2.19957,2.498e-20,39.9142
0.005,108.724,2.19957,0,39.9142
0.005,109.847,2.19957,2.498e-20,39.9142
0.005,110.969,-8.82602,0,-10
0.005,112.092,-8.82602,0,-10
0.005,110.969,-7.70356,0,-10
0.005,112.092,-7.70356,0,-10
0.005,110.969,-6.5811,0,-10
0.005,112.092,-6.5811,0,-10
0.005,110.969,-5.45863,0,-10
0.005,112.092,-5.45863,0,-10
0.005,110.969,-4.33617,0,-10
0.005,112.092,-4.33617,0,-10
0.005,110.969,-3.21371,0,-10
0.005,112.092,-3.21371,0,-10
0.005,110.969,-2.09125,0,-10
0.005,112.092,-2.09125,0,-10
0.005,110.969,-0.968786,-2.92326e-05,-10
0.005,112.092,-0.968786,2.92326e-05,-10
0.005,110.969,0.153676,2.05542e-06,-10
0.005,112.092,0.153676,-2.05542e-06,-10
0.005,110.969,1.27711,1.89111e-06,-9.80645
0.005,112.092,1.27711,-3.51625e-06,-9.80644
0.005,110.969,2.19903,-0.000130922,-49.9143
0.005,112.092,2.19903,-5.27678e-06,-49.9143
0.005,110.969,2.19957,-1.26911e-05,39.9143
0.005,112.092,2.19957,-5.27678e-06,39.9142
0.005,113.214,-8.82602,0,-10
0.005,114.337,-8.82602,0,-10
0.005,113.214,-7.70356,0,-10
0.005,114.337,-7.70356,0,-10
0.005,113.214,-6.5811,0,-10
0.005,114.337,-6.5811,0,-10
0.005,113.214,-5.45863,0,-10
0.005,114.337,-5.45863,0,-10
0.005,113.214,-4.33617,0,-10
0.005,114.337,-4.33617,0,-10
0.005,113.214,-3.21371,0,-10
0.005,114.337,-3.21371,0,-10
0.005,113.214,-2.09125,0,-10
0.005,114.337,-2.09125,0,-10
0.005,113.214,-0.968786,-2.92326e-05,-10
0.005,114.337,-0.968786,2.92326e-05,-10
0.005,113.214,0.153676,2.05542e-06,-10
0.005,114.337,0.153676,-2.05542e-06,-10
0.005,113.214,1.27711,1.89111e-06,-9.80645
0.005,114.337,1.27711,-1.89111e-06,-9.80645
0.005,113.214,2.19903,5.27678e-06,-49.9143
0.005,114.337,2.19903,-5.27678e-06,-49.9143
0.005,113.214,2.19957,-1.26911e-05,39.9143
0.005,114.337,2.19957,1.26911e-05,39.9143
0.005,115.459,-8.82602,0,-10
0.005,116.582,-8.82602,0,-10
0.005,115.459,-7.70356,0,-10
0.005,116.582,-7.70356,0,-10
0.005,115.459,-6.5811,0,-10
0.005,116.582,-6.5811,0,-10
0.005,115.459,-5.45863,0,-10
0.005,116.582,-5.45863,0,-10
0.005,115.459,-4.33617,0,-10
0.005,116.582,-4.33617,0,-10
0.005,115.459,-3.21371,0,-10
0.005,116.582,-3.21371,0,-10
0.005,115.459,-2.09125,0,-10
0.005,116.582,-2.09125,0,-10
0.005,115.459,-0.968786,-2.92326e-05,-10
0.005,116.582,-0.968786,2.92326e-05,-10
0.005,115.459,0.153676,2.05542e-06,-10
0.005,116.582,0.153676,-2.05542e-06,-10
