x,y,objet
130.051,9.99939,carre
131.174,9.99939,carre
132.296,9.99939,carre
130.051,11.1225,carre
131.174,11.1225,carre
132.296,11.1225,carre
130.051,12.2449,carre
131.174,12.2449,carre
132.296,12.2449,carre
133.418,9.99967,carre
134.541,9.99939,carre
133.419,11.1225,carre
134.541,11.1225,carre
133.418,12.2452,carre
134.541,12.2449,carre
135.663,9.99939,carre
136.786,9.99939,carre
135.663,11.1225,carre
136.786,11.1225,carre
135.663,12.2449,carre
136.786,12.2449,carre
137.908,9.99939,carre
139.031,9.99967,carre
137.908,11.1225,carre
139.031,11.1225,carre
137.908,12.2449,carre
139.031,12.2452,carre
140.153,9.99939,carre
141.276,9.99939,carre
142.398,9.99939,carre
140.153,11.1225,carre
141.276,11.1225,carre
142.398,11.1225,carre
140.153,12.2449,carre
141.276,12.2449,carre
142.398,12.2449,carre
143.52,9.99967,carre
144.643,9.99939,carre
143.521,11.1225,carre
144.643,11.1225,carre
143.52,12.2452,carre
144.643,12.2449,carre
145.766,9.99939,carre
146.888,9.99939,carre
145.766,11.1225,carre
146.888,11.1225,carre
145.765,12.2452,carre
146.888,12.2449,carre
148.011,9.99939,carre
149.133,9.99939,carre
148.011,11.1225,carre
149.133,11.1225,carre
148.011,12.2449,carre
149.133,12.2452,carre
150.255,9.99939,carre
151.378,9.99967,carre
150.255,11.1225,carre
151.378,11.1225,carre
150.255,12.2449,carre
151.378,12.2449,carre
152.5,9.99939,carre
153.623,9.99939,carre
154.745,9.99939,carre
152.5,11.1225,carre
153.623,11.1225,carre
154.745,11.1225,carre
152.5,12.2449,carre
153.623,12.2449,carre
154.745,12.2449,carre
155.868,9.99939,carre
156.99,9.99939,carre
155.868,11.1225,carre
156.99,11.1225,carre
155.867,12.2452,carre
156.99,12.2449,carre
158.113,9.99939,carre
159.235,9.99939,carre
158.113,11.1225,carre
159.235,11.1225,carre
158.113,12.2449,carre
159.235,12.2452,carre
160.358,9.99939,carre
161.48,9.99967,carre
160.358,11.1225,carre
161.48,11.1225,carre
160.358,12.2449,carre
161.48,12.2452,carre
162.602,9.99939,carre
163.725,9.99939,carre
164.847,9.99939,carre
162.602,11.1225,carre
163.725,11.1225,carre
164.847,11.1225,carre
162.602,12.2449,carre
163.725,12.2449,carre
164.847,12.2449,carre
165.97,9.99967,carre
167.092,9.99939,carre
165.97,11.1225,carre
167.092,11.1225,carre
165.97,12.2452,carre
167.092,12.2449,carre
168.215,9.99939,carre
169.337,9.99939,carre
168.215,11.1225,carre
169.337,11.1225,carre
168.215,12.2449,carre
169.337,12.2449,carre
170.46,9.99939,carre
171.582,9.99967,carre
170.46,11.1225,carre
171.582,11.1225,carre
170.46,12.2449,carre
171.582,12.2452,carre
172.705,9.99939,carre
173.827,9.99939,carre
174.95,9.99939,carre
172.705,11.1225,carre
173.827,11.1225,carre
174.95,11.1225,carre
172.705,12.2449,carre
173.827,12.2449,carre
174.95,12.2449,carre
176.072,9.99967,carre
177.194,9.99939,carre
176.072,11.1225,carre
177.194,11.1225,carre
176.071,12.2449,carre
177.194,12.2449,carre
178.317,9.99939,carre
179.439,9.99939,carre
178.317,11.1225,carre
179.439,11.1225,carre
178.317,12.2452,carre
179.439,12.2449,carre
180.562,9.99939,carre
181.684,9.99939,carre
180.562,11.1225,carre
181.684,11.1225,carre
180.562,12.2449,carre
181.685,12.2452,carre
182.807,9.99939,carre
183.93,9.99967,carre
182.807,11.1225,carre
183.929,11.1225,carre
182.807,12.2449,carre
183.93,12.2449,carre
185.052,9.99939,carre
186.174,9.99939,carre
187.297,9.99939,carre
185.052,11.1225,carre
186.174,11.1225,carre
187.297,11.1225,carre
185.052,12.2449,carre
186.174,12.2449,carre
187.297,12.2449,carre
188.419,9.99967,carre
189.542,9.99939,carre
188.419,11.1225,carre
189.542,11.1225,carre
188.419,12.2452,carre
189.542,12.2449,carre
190.664,9.99939,carre
191.786,9.99939,carre
190.664,11.1225,carre
191.786,11.1225,carre
190.664,12.2449,carre
191.786,12.2449,carre
192.909,9.99939,carre
194.032,9.99967,carre
192.909,11.1225,carre
194.031,11.1225,carre
192.909,12.2449,carre
194.032,12.2452,carre
195.154,9.99939,carre
196.276,9.99939,carre
197.399,9.99939,carre
195.154,11.1225,carre
196.276,11.1225,carre
197.399,11.1225,carre
195.154,12.2449,carre
196.276,12.2449,carre
197.399,12.2449,carre
198.521,9.99967,carre
199.644,9.99939,carre
198.521,11.1225,carre
199.644,11.1225,carre
198.521,12.2452,carre
199.644,12.2449,carre
200.766,9.99939,carre
201.889,9.99939,carre
200.766,11.1225,carre
201.889,11.1225,carre
200.766,12.2452,carre
201.889,12.2449,carre
203.011,9.99939,carre
204.134,9.99939,carre
203.011,11.1225,carre
204.134,11.1225,carre
203.011,12.2449,carre
204.134,12.2452,carre
205.256,9.99939,carre
206.379,9.99967,carre
205.256,11.1225,carre
206.378,11.1225,carre
205.256,12.2449,carre
206.379,12.2449,carre
207.501,9.99939,carre
208.623,9.99939,carre
209.746,9.99939,carre
207.501,11.1225,carre
208.623,11.1225,carre
209.746,11.1225,carre
207.501,12.2449,carre
208.623,12.2449,carre
209.746,12.2449,carre
210.868,9.99939,carre
211.991,9.99939,carre
210.868,11.1225,carre
211.991,11.1225,carre
210.868,12.2452,carre
211.991,12.2449,carre
213.113,9.99939,carre
214.236,9.99967,carre
213.113,11.1225,carre
214.236,11.1225,carre
213.113,12.2449,carre
214.236,12.2449,carre
35.7637,13.3674,carre
36.887,13.3671,carre
35.7637,14.4898,carre
36.887,14.4901,carre
38.0089,13.3671,carre
39.1319,13.3671,carre
38.0092,14.4898,carre
39.1319,14.4901,carre
40.2538,13.3671,carre
41.3765,13.3674,carre
42.499,13.3674,carre
40.2541,14.4898,carre
41.3765,14.4898,carre
42.499,14.4898,carre
43.6213,13.3671,carre
44.7442,13.3671,carre
43.6213,14.4901,carre
44.7439,14.4898,carre
45.8662,13.3671,carre
46.9891,13.3671,carre
45.8662,14.4901,carre
46.9888,14.4898,carre
48.1111,13.3671,carre
49.2341,13.3671,carre
48.1111,14.4901,carre
49.2341,14.4901,carre
50.356,13.3671,carre
51.479,13.3671,carre
50.3563,14.4898,carre
51.479,14.4901,carre
